Entity,Code,Year,Median
Australia,AUS,1981,24419.23
Australia,AUS,1985,24330.752
Australia,AUS,1989,24563.176
Australia,AUS,1995,22551.168
Australia,AUS,2001,25309.848
Australia,AUS,2003,25622.473
Australia,AUS,2004,28354.79
Australia,AUS,2008,34883.246
Australia,AUS,2010,34654.867
Australia,AUS,2014,37269.246
Australia,AUS,2016,36779.617
Australia,AUS,2018,37192.71
Australia,AUS,2020,38900.56
Austria,AUT,1994,34414.64
Austria,AUT,1995,33901.152
Austria,AUT,1996,33219.95
Austria,AUT,1997,33070.742
Austria,AUT,1998,33218.977
Austria,AUT,1999,34362.79
Austria,AUT,2000,33907.883
Austria,AUT,2003,35988.93
Austria,AUT,2004,37104.766
Austria,AUT,2005,35913.312
Austria,AUT,2006,36116.883
Austria,AUT,2007,37872.777
Austria,AUT,2008,38695.574
Austria,AUT,2009,39588.617
Austria,AUT,2010,39321.754
Austria,AUT,2011,38853.668
Austria,AUT,2012,38478.41
Austria,AUT,2013,38859.945
Austria,AUT,2014,38939.617
Austria,AUT,2015,38819.914
Austria,AUT,2016,40513.887
Austria,AUT,2017,40095.973
Austria,AUT,2018,39923.89
Austria,AUT,2019,40983.09
Austria,AUT,2020,41188.777
Austria,AUT,2021,41072.004
Austria,AUT,2022,42615.992
Austria,AUT,2023,41752.953
Belgium,BEL,1985,23101.172
Belgium,BEL,1988,24094.584
Belgium,BEL,1992,25592.58
Belgium,BEL,1995,29355.432
Belgium,BEL,1997,28750.2
Belgium,BEL,2000,30891.213
Belgium,BEL,2003,30316.09
Belgium,BEL,2004,31204.668
Belgium,BEL,2005,31771.26
Belgium,BEL,2006,32745.559
Belgium,BEL,2007,33065.66
Belgium,BEL,2008,33719.08
Belgium,BEL,2009,34075.168
Belgium,BEL,2010,34103.73
Belgium,BEL,2011,33263.594
Belgium,BEL,2012,34596.453
Belgium,BEL,2013,34103.02
Belgium,BEL,2014,34034.17
Belgium,BEL,2015,35005.586
Belgium,BEL,2016,34709.812
Belgium,BEL,2017,35350.152
Belgium,BEL,2018,35950.55
Belgium,BEL,2019,36857.44
Belgium,BEL,2020,37429.07
Belgium,BEL,2021,38867.14
Brazil,BRA,1981,5438.6494
Brazil,BRA,1982,5382.546
Brazil,BRA,1983,4598.914
Brazil,BRA,1984,4661.6743
Brazil,BRA,1985,5257.065
Brazil,BRA,1986,6254.506
Brazil,BRA,1987,5674.16
Brazil,BRA,1988,5372.632
Brazil,BRA,1989,5201.834
Brazil,BRA,1990,4893.9653
Brazil,BRA,1992,5169.5723
Brazil,BRA,1993,5034.509
Brazil,BRA,1995,5178.1807
Brazil,BRA,1996,5300.215
Brazil,BRA,1997,5107.014
Brazil,BRA,1998,5216.4956
Brazil,BRA,1999,5033.8174
Brazil,BRA,2001,5236.853
Brazil,BRA,2002,5342.4233
Brazil,BRA,2003,5250.585
Brazil,BRA,2004,5332.153
Brazil,BRA,2005,5706.5527
Brazil,BRA,2006,6211.8984
Brazil,BRA,2007,6566.3716
Brazil,BRA,2008,7058.6797
Brazil,BRA,2009,7278.219
Brazil,BRA,2011,7844.6475
Brazil,BRA,2012,8524.839
Brazil,BRA,2013,8780.594
Brazil,BRA,2014,9110.871
Brazil,BRA,2015,8596.698
Brazil,BRA,2016,8115.898
Brazil,BRA,2017,8326.589
Brazil,BRA,2018,8266.716
Brazil,BRA,2019,8371.656
Brazil,BRA,2020,8493.133
Brazil,BRA,2021,7764.1772
Brazil,BRA,2022,8322.964
Bulgaria,BGR,2007,9949.529
Bulgaria,BGR,2008,11344.979
Bulgaria,BGR,2009,11669.66
Bulgaria,BGR,2010,10189.751
Bulgaria,BGR,2011,10160.113
Bulgaria,BGR,2012,10133.287
Bulgaria,BGR,2013,11243.375
Bulgaria,BGR,2014,11436.085
Bulgaria,BGR,2015,10746.997
Bulgaria,BGR,2016,12233.919
Bulgaria,BGR,2017,12026.377
Bulgaria,BGR,2018,13551.214
Bulgaria,BGR,2019,14376.262
Bulgaria,BGR,2020,15756.002
Bulgaria,BGR,2021,16061.452
Bulgaria,BGR,2022,16721.164
Canada,CAN,1971,21315.402
Canada,CAN,1973,23893.947
Canada,CAN,1975,26332.795
Canada,CAN,1977,27956.16
Canada,CAN,1979,28278.088
Canada,CAN,1981,28937.7
Canada,CAN,1982,28283.814
Canada,CAN,1984,27909.346
Canada,CAN,1985,28460.982
Canada,CAN,1986,29549.12
Canada,CAN,1987,29917.67
Canada,CAN,1988,30650.814
Canada,CAN,1989,31164.555
Canada,CAN,1990,30811.236
Canada,CAN,1991,29415.299
Canada,CAN,1992,29762.455
Canada,CAN,1993,29080.48
Canada,CAN,1994,29556.494
Canada,CAN,1995,29378.959
Canada,CAN,1996,27819.904
Canada,CAN,1997,28032.645
Canada,CAN,1998,28982.34
Canada,CAN,1999,29608.064
Canada,CAN,2000,30105.977
Canada,CAN,2001,31280.68
Canada,CAN,2002,31611.783
Canada,CAN,2003,31602.434
Canada,CAN,2004,32013.361
Canada,CAN,2005,33048.617
Canada,CAN,2006,33393.145
Canada,CAN,2007,34732.805
Canada,CAN,2008,35322.875
Canada,CAN,2009,35377.79
Canada,CAN,2010,35884.83
Canada,CAN,2011,36345.906
Canada,CAN,2012,36907.195
Canada,CAN,2013,37311.62
Canada,CAN,2014,37541.93
Canada,CAN,2015,38231.17
Canada,CAN,2016,37952.477
Canada,CAN,2017,38965.473
Canada,CAN,2018,39389.816
Canada,CAN,2019,39870.605
Canada,CAN,2020,42064.152
Canada,CAN,2021,41554.79
Canada,CAN,2022,40883.69
Chile,CHL,1990,3674.631
Chile,CHL,1992,4330.544
Chile,CHL,1994,4948.597
Chile,CHL,1996,5496.741
Chile,CHL,1998,5813.4487
Chile,CHL,2000,5931.2056
Chile,CHL,2003,6072.137
Chile,CHL,2006,7043.4326
Chile,CHL,2009,7327.9814
Chile,CHL,2011,7851.9917
Chile,CHL,2013,9270.898
Chile,CHL,2015,9949.027
Chile,CHL,2017,10468.044
China,CHN,2002,2688.763
China,CHN,2013,7563.023
China,CHN,2018,10606.271
Colombia,COL,2001,3951.4797
Colombia,COL,2002,3808.4138
Colombia,COL,2003,3987.296
Colombia,COL,2004,3935.1692
Colombia,COL,2005,4242.082
Colombia,COL,2006,4309.83
Colombia,COL,2007,4547.0522
Colombia,COL,2008,4735.038
Colombia,COL,2009,4848.4307
Colombia,COL,2010,5143.613
Colombia,COL,2011,5561.5796
Colombia,COL,2012,5786.01
Colombia,COL,2013,6047.506
Colombia,COL,2014,6309.9385
Colombia,COL,2015,6417.619
Colombia,COL,2016,6394.371
Colombia,COL,2017,6396.058
Colombia,COL,2018,6415.12
Colombia,COL,2019,6233.7397
Colombia,COL,2020,5424.331
Colombia,COL,2021,5554.5176
Colombia,COL,2022,5814.4126
Colombia,COL,2023,6180.294
Cote d'Ivoire,CIV,2002,2182.1003
Cote d'Ivoire,CIV,2008,2314.934
Cote d'Ivoire,CIV,2015,2277.4114
Czechia,CZE,1992,11173.706
Czechia,CZE,1996,13056.653
Czechia,CZE,2002,13835.139
Czechia,CZE,2004,14950.574
Czechia,CZE,2005,15656.281
Czechia,CZE,2006,16761.676
Czechia,CZE,2007,17955.27
Czechia,CZE,2008,18289.38
Czechia,CZE,2009,18459.375
Czechia,CZE,2010,18536.941
Czechia,CZE,2011,18295.32
Czechia,CZE,2012,17773.018
Czechia,CZE,2013,18011.973
Czechia,CZE,2014,18693.205
Czechia,CZE,2015,19431.969
Czechia,CZE,2016,20280.14
Czechia,CZE,2017,21268.41
Czechia,CZE,2018,22300.4
Czechia,CZE,2019,23042.662
Czechia,CZE,2020,22962.967
Czechia,CZE,2021,24379.031
Czechia,CZE,2022,22794.941
Czechia,CZE,2023,22172.629
Denmark,DNK,1987,29446.42
Denmark,DNK,1992,28543.186
Denmark,DNK,1995,30543.08
Denmark,DNK,2000,32305.646
Denmark,DNK,2004,33932.926
Denmark,DNK,2007,35441.62
Denmark,DNK,2010,35880.39
Denmark,DNK,2013,34705.625
Denmark,DNK,2015,33596.023
Denmark,DNK,2016,34029.56
Denmark,DNK,2017,34463.69
Denmark,DNK,2018,35256.14
Denmark,DNK,2019,35564.52
Denmark,DNK,2020,36913.434
Denmark,DNK,2021,37413.664
Denmark,DNK,2022,35598.305
Dominican Republic,DOM,2007,5454.5425
Estonia,EST,2000,7053.4795
Estonia,EST,2004,9331.461
Estonia,EST,2007,14424.461
Estonia,EST,2010,12757.7295
Estonia,EST,2013,14523.21
Estonia,EST,2016,19376.373
Finland,FIN,1987,22959.145
Finland,FIN,1991,25154.396
Finland,FIN,1995,22510.754
Finland,FIN,2000,25089.756
Finland,FIN,2004,28316.758
Finland,FIN,2007,31000.76
Finland,FIN,2010,31749.357
Finland,FIN,2013,31684.072
Finland,FIN,2016,31698.982
France,FRA,1970,15465.94
France,FRA,1975,19454.596
France,FRA,1979,22058.215
France,FRA,1984,22913.316
France,FRA,1990,24502.717
France,FRA,1996,25650.559
France,FRA,1997,25683.145
France,FRA,1998,26333.383
France,FRA,1999,26642.178
France,FRA,2000,27087.559
France,FRA,2001,27706.293
France,FRA,2002,28562.72
France,FRA,2003,28454.902
France,FRA,2004,28400.668
France,FRA,2005,28639.85
France,FRA,2006,29190.74
France,FRA,2007,29578.166
France,FRA,2008,30098.152
France,FRA,2009,30210.994
France,FRA,2010,30115.37
France,FRA,2011,29934.7
France,FRA,2012,29669.363
France,FRA,2013,29790.088
France,FRA,2014,29808.412
France,FRA,2015,29986.664
France,FRA,2016,30299.512
France,FRA,2017,30441.307
France,FRA,2018,30357.375
France,FRA,2019,30785.232
France,FRA,2020,31381.896
France,FRA,2021,31630.213
France,FRA,2022,31550.572
Georgia,GEO,2009,3110.624
Georgia,GEO,2010,3363.4248
Georgia,GEO,2011,3396.965
Georgia,GEO,2012,4083.554
Georgia,GEO,2013,4741.516
Georgia,GEO,2014,5238.7773
Georgia,GEO,2015,5415.4688
Georgia,GEO,2016,5532.975
Georgia,GEO,2017,5339.8555
Georgia,GEO,2018,5480.3726
Georgia,GEO,2019,5798.375
Georgia,GEO,2020,5561.0366
Georgia,GEO,2021,5362.3477
Georgia,GEO,2022,5712.359
Germany,DEU,1973,28797.857
Germany,DEU,1978,32972.31
Germany,DEU,1983,32972.074
Germany,DEU,1984,27632.469
Germany,DEU,1985,27530.225
Germany,DEU,1986,28938.08
Germany,DEU,1987,29606.197
Germany,DEU,1988,30555.69
Germany,DEU,1989,31005.225
Germany,DEU,1990,32244.672
Germany,DEU,1991,29893.588
Germany,DEU,1992,30410.021
Germany,DEU,1993,30243.602
Germany,DEU,1994,29712.8
Germany,DEU,1995,29630.525
Germany,DEU,1996,29986.57
Germany,DEU,1997,29417.105
Germany,DEU,1998,30294.914
Germany,DEU,1999,30864.955
Germany,DEU,2000,31564.041
Germany,DEU,2001,30882.83
Germany,DEU,2002,31681.688
Germany,DEU,2003,31445.506
Germany,DEU,2004,31457.756
Germany,DEU,2005,30895.188
Germany,DEU,2006,31057.27
Germany,DEU,2007,31308.303
Germany,DEU,2008,31227.578
Germany,DEU,2009,31699.146
Germany,DEU,2010,31890.926
Germany,DEU,2011,31488.129
Germany,DEU,2012,31327.066
Germany,DEU,2013,31448.883
Germany,DEU,2014,31814.908
Germany,DEU,2015,32755.676
Germany,DEU,2016,33355.2
Germany,DEU,2017,33903.973
Germany,DEU,2018,35056.85
Germany,DEU,2019,35757.254
Germany,DEU,2020,37375.836
Germany,DEU,2021,37042.047
Germany,DEU,2022,36469.117
Greece,GRC,1995,16364.726
Greece,GRC,2000,18620.729
Greece,GRC,2002,21014.967
Greece,GRC,2003,21705.98
Greece,GRC,2004,22503.074
Greece,GRC,2005,22352.428
Greece,GRC,2006,22301.23
Greece,GRC,2007,23582.803
Greece,GRC,2008,23579.059
Greece,GRC,2009,24182.084
Greece,GRC,2010,21407.088
Greece,GRC,2011,17404.576
Greece,GRC,2012,15508.441
Greece,GRC,2013,14244.342
Greece,GRC,2014,14644.722
Greece,GRC,2015,14680.667
Greece,GRC,2016,15084.822
Greece,GRC,2017,15391.562
Greece,GRC,2018,16076.784
Greece,GRC,2019,17036.783
Greece,GRC,2020,17038.746
Greece,GRC,2021,18383.299
Guatemala,GTM,2006,7873.3867
Guatemala,GTM,2011,5805.927
Guatemala,GTM,2014,6611.372
Hungary,HUN,1991,11264.151
Hungary,HUN,1994,9017.947
Hungary,HUN,1999,8485.326
Hungary,HUN,2005,11014.7295
Hungary,HUN,2007,11178.615
Hungary,HUN,2009,10573.737
Hungary,HUN,2012,10583.672
Hungary,HUN,2015,13199.111
Iceland,ISL,2003,33468.68
Iceland,ISL,2004,34393.734
Iceland,ISL,2005,36652.69
Iceland,ISL,2006,39897.664
Iceland,ISL,2007,42112.766
Iceland,ISL,2008,40849.75
Iceland,ISL,2009,36623.9
Iceland,ISL,2010,34149.66
Iceland,ISL,2011,32137.229
Iceland,ISL,2012,33963.79
Iceland,ISL,2013,35011.195
Iceland,ISL,2014,36638.258
Iceland,ISL,2015,39182.566
Iceland,ISL,2016,41272.387
Iceland,ISL,2017,44380.902
India,IND,2004,2275.74
India,IND,2011,3205.2773
Ireland,IRL,1987,12275.872
Ireland,IRL,1994,16308.622
Ireland,IRL,1995,16933.203
Ireland,IRL,1996,18025.053
Ireland,IRL,2000,23675.805
Ireland,IRL,2002,26156.943
Ireland,IRL,2003,26674.635
Ireland,IRL,2004,26838.098
Ireland,IRL,2005,28014.021
Ireland,IRL,2006,30111.732
Ireland,IRL,2007,29798.805
Ireland,IRL,2008,27076.553
Ireland,IRL,2009,25681.951
Ireland,IRL,2010,25336.2
Ireland,IRL,2011,24193.475
Ireland,IRL,2012,24445.785
Ireland,IRL,2013,24827.627
Ireland,IRL,2014,26290.438
Ireland,IRL,2015,27674.834
Ireland,IRL,2016,28025.281
Ireland,IRL,2017,30671.643
Ireland,IRL,2018,31010.57
Ireland,IRL,2019,32166.234
Ireland,IRL,2020,34703.89
Ireland,IRL,2021,36349.887
Ireland,IRL,2022,33749.977
Ireland,IRL,2023,34694.426
Israel,ISR,1979,12837.432
Israel,ISR,1986,12955.614
Israel,ISR,1992,15253.17
Israel,ISR,1997,15457.868
Israel,ISR,2001,17186.432
Israel,ISR,2002,15513.456
Israel,ISR,2003,15783.382
Israel,ISR,2004,16424.78
Israel,ISR,2005,16874.447
Israel,ISR,2006,17294.256
Israel,ISR,2007,18304.93
Israel,ISR,2008,18617.314
Israel,ISR,2009,18437.17
Israel,ISR,2010,19093.496
Israel,ISR,2011,19172.969
Israel,ISR,2012,20299.92
Israel,ISR,2013,21517.957
Israel,ISR,2014,21984.674
Israel,ISR,2015,23091.242
Israel,ISR,2016,23589.625
Israel,ISR,2017,24897.63
Israel,ISR,2018,25657.059
Israel,ISR,2019,24913.957
Israel,ISR,2020,24548.855
Israel,ISR,2021,24686.074
Israel,ISR,2022,25944.88
Italy,ITA,1977,15881.872
Italy,ITA,1978,17409.264
Italy,ITA,1979,18270.799
Italy,ITA,1980,18879.719
Italy,ITA,1981,18517.885
Italy,ITA,1982,19612.457
Italy,ITA,1983,19311.133
Italy,ITA,1984,20027.492
Italy,ITA,1986,18975.727
Italy,ITA,1987,21392.314
Italy,ITA,1989,23369.098
Italy,ITA,1991,23847.03
Italy,ITA,1993,22289.412
Italy,ITA,1995,21841.275
Italy,ITA,1998,23051.338
Italy,ITA,2000,23469.857
Italy,ITA,2002,23423.3
Italy,ITA,2004,23703.047
Italy,ITA,2006,25061.982
Italy,ITA,2008,24694.793
Italy,ITA,2010,24123.83
Italy,ITA,2012,21693.992
Italy,ITA,2014,21760.008
Italy,ITA,2016,22424.434
Italy,ITA,2020,23184.08
Japan,JPN,2008,29082.846
Japan,JPN,2009,28727.36
Japan,JPN,2010,29070.951
Japan,JPN,2011,27048.91
Japan,JPN,2012,27622.13
Japan,JPN,2013,27220.86
Japan,JPN,2014,27220.553
Japan,JPN,2015,27494.264
Japan,JPN,2016,26952.086
Japan,JPN,2017,27167.02
Japan,JPN,2018,26867.996
Japan,JPN,2019,26718.908
Japan,JPN,2020,27771.922
Lithuania,LTU,2009,12009.419
Lithuania,LTU,2010,11154.923
Lithuania,LTU,2011,12096.447
Lithuania,LTU,2012,12409.39
Lithuania,LTU,2013,12830.7705
Lithuania,LTU,2014,13818.254
Lithuania,LTU,2015,15171.737
Lithuania,LTU,2016,16224.789
Lithuania,LTU,2017,17299.14
Lithuania,LTU,2018,18649.021
Lithuania,LTU,2019,20662.99
Lithuania,LTU,2020,22751.78
Lithuania,LTU,2021,22306.734
Luxembourg,LUX,1985,28668.172
Luxembourg,LUX,1986,31523.113
Luxembourg,LUX,1987,32775.312
Luxembourg,LUX,1988,34483.61
Luxembourg,LUX,1989,35502.25
Luxembourg,LUX,1990,37473.414
Luxembourg,LUX,1991,37558.086
Luxembourg,LUX,1992,39568.992
Luxembourg,LUX,1993,39601.516
Luxembourg,LUX,1994,37993.11
Luxembourg,LUX,1995,38818.75
Luxembourg,LUX,1996,38637.215
Luxembourg,LUX,1997,39364.574
Luxembourg,LUX,1998,38993.04
Luxembourg,LUX,1999,40586.195
Luxembourg,LUX,2000,40710.957
Luxembourg,LUX,2001,41468.758
Luxembourg,LUX,2002,43240.223
Luxembourg,LUX,2003,44749.1
Luxembourg,LUX,2004,45459.945
Luxembourg,LUX,2005,45423.164
Luxembourg,LUX,2006,45432.703
Luxembourg,LUX,2007,45827.613
Luxembourg,LUX,2008,45556.6
Luxembourg,LUX,2009,46406.53
Luxembourg,LUX,2010,45448.777
Luxembourg,LUX,2011,44839.445
Luxembourg,LUX,2012,43907.074
Luxembourg,LUX,2013,44105.55
Luxembourg,LUX,2014,44899.594
Luxembourg,LUX,2015,45354.984
Luxembourg,LUX,2016,48011.11
Luxembourg,LUX,2017,45247.965
Luxembourg,LUX,2018,46899.652
Luxembourg,LUX,2019,46134.895
Luxembourg,LUX,2020,50354.8
Luxembourg,LUX,2021,52303.105
Luxembourg,LUX,2022,51807.176
Luxembourg,LUX,2023,53735.555
Mali,MLI,2011,1940.4852
Mali,MLI,2013,2396.4905
Mali,MLI,2014,2548.1392
Mali,MLI,2015,2926.5034
Mali,MLI,2016,2849.7083
Mali,MLI,2017,3143.3542
Mali,MLI,2018,3775.9666
Mali,MLI,2019,3195.144
Mali,MLI,2020,2994.9387
Mexico,MEX,1984,4688.8413
Mexico,MEX,1989,4884.5947
Mexico,MEX,1992,5080.5205
Mexico,MEX,1994,5152.261
Mexico,MEX,1996,3956.2444
Mexico,MEX,1998,4240.9277
Mexico,MEX,2000,5033.746
Mexico,MEX,2002,5249.174
Mexico,MEX,2004,5549.335
Mexico,MEX,2005,6093.383
Mexico,MEX,2006,6769.1484
Mexico,MEX,2008,6668.321
Mexico,MEX,2010,6039.442
Mexico,MEX,2012,6142.2363
Mexico,MEX,2014,5770.8506
Mexico,MEX,2016,6826.682
Mexico,MEX,2018,7014.9272
Mexico,MEX,2020,6672.616
Mexico,MEX,2022,7821.6772
Netherlands,NLD,1983,22986.916
Netherlands,NLD,1987,23933.674
Netherlands,NLD,1990,28253.527
Netherlands,NLD,1993,26695.842
Netherlands,NLD,1999,31133.252
Netherlands,NLD,2004,30858.416
Netherlands,NLD,2005,31085.812
Netherlands,NLD,2006,32416.596
Netherlands,NLD,2007,33970.145
Netherlands,NLD,2008,34107.97
Netherlands,NLD,2009,34223.64
Netherlands,NLD,2010,33507.8
Netherlands,NLD,2011,33431.027
Netherlands,NLD,2012,33002.28
Netherlands,NLD,2013,32227.55
Netherlands,NLD,2014,32494.67
Netherlands,NLD,2015,34675.55
Netherlands,NLD,2016,35810.594
Netherlands,NLD,2017,35893.793
Netherlands,NLD,2018,36007.867
Netherlands,NLD,2019,36816.74
Netherlands,NLD,2020,39616.36
Netherlands,NLD,2021,40371.48
Norway,NOR,1979,19385.459
Norway,NOR,1986,25710.748
